pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
270.4681,-96.9557,0.0,top,SK6,5-520314-8,,55203148,Z80 Address Bus,tht
296.4681,-96.9557,0.0,top,SK7,5-520314-8,,55203148,Z80 Data Bus,tht
331.6706,-168.6946,0.0,top,SW1,,,SW_Gateron_LowProfile_THT,SHIFT_RH,tht
83.9306,-168.6946,0.0,top,SW10,,,SW_Gateron_LowProfile_THT,SHIFT_LH,tht
207.6076,-187.7446,0.0,top,SW11,,,SW_Gateron_LowProfile_THT,SPACE,tht
283.9406,-187.7446,0.0,top,SW12,,,SW_Gateron_LowProfile_THT,VASEN,tht
322.0576,-187.7446,0.0,top,SW13,,,SW_Gateron_LowProfile_THT,OIKEIN,tht
303.0076,-187.7446,0.0,top,SW14,,,SW_Gateron_LowProfile_THT,ALAS,tht
303.0076,-168.6946,0.0,top,SW15,,,SW_Gateron_LowProfile_THT,YLÖS,tht
338.7701,-139.96,0.0,top,SW16,,,SW_Gateron_LowProfile_THT,ENTER,tht
74.4794,-111.4801,0.0,top,SW17,,,SW_Gateron_LowProfile_THT,ESC,tht
79.3063,-130.4488,0.0,top,SW18,,,SW_Gateron_LowProfile_THT,TAB,tht
93.5294,-111.4801,0.0,top,SW19,,,SW_Gateron_LowProfile_THT,YKSI,tht
112.5076,-187.7446,0.0,top,SW2,,,SW_Gateron_LowProfile_THT,APUA!,tht
112.5794,-111.4801,0.0,top,SW20,,,SW_Gateron_LowProfile_THT,KAKSI,tht
131.6294,-111.4801,0.0,top,SW21,,,SW_Gateron_LowProfile_THT,KOLME,tht
150.6794,-111.4801,0.0,top,SW22,,,SW_Gateron_LowProfile_THT,NELJÄ,tht
169.7294,-111.4801,0.0,top,SW23,,,SW_Gateron_LowProfile_THT,VIISI,tht
188.7794,-111.4801,0.0,top,SW24,,,SW_Gateron_LowProfile_THT,KUUSI,tht
74.4076,-187.7446,0.0,top,SW25,,,SW_Gateron_LowProfile_THT,INDEX,tht
81.59,-149.585,0.0,top,SW26,,,SW_Gateron_LowProfile_THT,DIAMOND,tht
103.1031,-130.4488,0.0,top,SW27,,,SW_Gateron_LowProfile_THT,Q,tht
122.1531,-130.4488,0.0,top,SW28,,,SW_Gateron_LowProfile_THT,W,tht
141.2031,-130.4488,0.0,top,SW29,,,SW_Gateron_LowProfile_THT,E,tht
293.6031,-130.4488,0.0,top,SW3,,,SW_Gateron_LowProfile_THT,[,tht
160.2531,-130.4488,0.0,top,SW30,,,SW_Gateron_LowProfile_THT,R,tht
179.3031,-130.4488,0.0,top,SW31,,,SW_Gateron_LowProfile_THT,T,tht
198.3531,-130.4488,0.0,top,SW32,,,SW_Gateron_LowProfile_THT,Y,tht
341.1106,-187.7446,0.0,top,SW33,,,SW_Gateron_LowProfile_THT,CAPS_LOCK,tht
93.4529,-187.7446,0.0,top,SW34,,,SW_Gateron_LowProfile_THT,MENU,tht
107.7965,-149.585,0.0,top,SW35,,,SW_Gateron_LowProfile_THT,A,tht
126.8465,-149.585,0.0,top,SW36,,,SW_Gateron_LowProfile_THT,S,tht
145.8965,-149.585,0.0,top,SW37,,,SW_Gateron_LowProfile_THT,D,tht
164.9465,-149.585,0.0,top,SW38,,,SW_Gateron_LowProfile_THT,F,tht
183.9965,-149.585,0.0,top,SW39,,,SW_Gateron_LowProfile_THT,G,tht
312.6531,-130.4488,0.0,top,SW4,,,SW_Gateron_LowProfile_THT,],tht
203.0465,-149.585,0.0,top,SW40,,,SW_Gateron_LowProfile_THT,H,tht
264.9716,-168.6946,0.0,top,SW41,,,SW_Gateron_LowProfile_THT,DOT,tht
245.8576,-168.6946,0.0,top,SW42,,,SW_Gateron_LowProfile_THT,COMMA,tht
112.5076,-168.6946,0.0,top,SW43,,,SW_Gateron_LowProfile_THT,Z,tht
131.5576,-168.6946,0.0,top,SW44,,,SW_Gateron_LowProfile_THT,X,tht
150.6076,-168.6946,0.0,top,SW45,,,SW_Gateron_LowProfile_THT,C,tht
169.6576,-168.6946,0.0,top,SW46,,,SW_Gateron_LowProfile_THT,V,tht
188.7076,-168.6946,0.0,top,SW47,,,SW_Gateron_LowProfile_THT,B,tht
207.7576,-168.6946,0.0,top,SW48,,,SW_Gateron_LowProfile_THT,N,tht
283.9576,-168.6946,0.0,top,SW49,,,SW_Gateron_LowProfile_THT,/FORWSLASH/,tht
284.0294,-111.4801,0.0,top,SW5,,,SW_Gateron_LowProfile_THT,UNDERSCORE,tht
279.2465,-149.585,0.0,top,SW50,,,SW_Gateron_LowProfile_THT,SEMICOLON,tht
260.1965,-149.585,0.0,top,SW51,,,SW_Gateron_LowProfile_THT,L,tht
226.8076,-168.6946,0.0,top,SW52,,,SW_Gateron_LowProfile_THT,M,tht
241.1465,-149.585,0.0,top,SW53,,,SW_Gateron_LowProfile_THT,K,tht
222.0965,-149.585,0.0,top,SW54,,,SW_Gateron_LowProfile_THT,J,tht
217.4031,-130.4488,0.0,top,SW55,,,SW_Gateron_LowProfile_THT,U,tht
207.8294,-111.4801,0.0,top,SW56,,,SW_Gateron_LowProfile_THT,SEITSEMÄN,tht
317.5716,-149.585,0.0,top,SW57,,,SW_Gateron_LowProfile_THT,GBP,tht
298.3129,-149.585,0.0,top,SW58,,,SW_Gateron_LowProfile_THT,DOUBLE_QUOTE,tht
